Crop,Avg. Temp (°C),Avg. Rainfall,Avg. Soil pH,Avg. Humidity,Avg. Sunlight (hours),Wind,Soil Type
Peas,20,76,7.5,54,6,Low,Sandy loam
Wheat,23,72,7.7,60,7,Low,Clay
Potatoes,29,43,6.8,58,9,High,Loam
Sorghum,25,41,6.5,54,6,Low,Sandy loam
Barley,24,50,6.8,57,6,Low,Clay
Sorghum,27,71,7.9,61,9,Moderate,Sandy loam
Cabbage,26,76,7.2,64,7,High,Sandy loam
Beans,16,53,7.3,61,8,Moderate,Loam
Maize,22,52,7.9,51,8,Low,Sandy loam
Sorghum,19,65,7.7,56,8,Moderate,Sandy loam
Rice,21,66,6.0,59,6,Low,Clay
Peas,24,57,7.1,59,7,Moderate,Loam
Maize,22,68,6.0,59,6,High,Sandy loam
Potatoes,21,42,7.6,50,6,Low,Loam
Onions,22,66,6.6,70,6,Moderate,Loam
Carrots,20,48,7.2,50,6,High,Sandy loam
Potatoes,15,57,7.5,57,7,High,Clay
Onions,27,60,6.3,66,9,High,Clay
Potatoes,17,64,6.7,55,9,Low,Clay
Sorghum,18,80,7.8,58,9,High,Sandy loam
Maize,21,65,6.9,64,7,Low,Sandy loam
Corn,18,68,6.6,65,9,High,Loam
Rice,28,70,6.7,66,7,Moderate,Clay
Cabbage,19,61,6.3,53,6,High,Clay
Potatoes,19,55,6.1,53,6,Moderate,Clay
Corn,19,48,7.0,60,9,Moderate,Clay
Barley,24,80,6.1,50,8,Low,Loam
Tomatoes,19,65,6.0,59,6,Low,Clay
Peas,30,52,7.6,63,7,Moderate,Sandy loam
Rice,18,57,6.5,61,8,Low,Loam
Wheat,16,65,6.4,53,7,High,Loam
Maize,19,57,7.7,51,7,High,Clay
Rice,17,73,6.1,51,8,High,Sandy loam
Beans,19,41,6.8,56,8,Moderate,Clay
Corn,24,43,6.7,56,6,Low,Sandy loam
Carrots,16,51,7.4,53,7,Low,Loam
Peas,25,52,7.3,68,8,Low,Sandy loam
Corn,22,63,6.7,69,8,Low,Loam
Potatoes,27,46,6.8,61,7,High,Loam
Oats,18,50,7.4,59,7,High,Loam
Sorghum,30,79,7.6,66,9,Moderate,Sandy loam
Rice,29,49,6.2,66,9,Moderate,Clay
Cabbage,23,42,7.8,66,8,Low,Loam
Barley,21,61,6.1,68,9,High,Clay
Oats,23,48,6.0,54,8,Moderate,Loam
Onions,24,53,7.3,51,9,Moderate,Clay
Sorghum,15,61,6.1,50,6,High,Loam
Tomatoes,15,75,6.4,56,6,Low,Sandy loam
Wheat,16,75,6.1,60,6,High,Clay
Tomatoes,23,40,7.8,51,7,Low,Sandy loam
Beans,27,44,6.1,70,9,Low,Sandy loam
Cabbage,20,75,7.7,62,8,Low,Clay
Wheat,22,77,7.4,50,8,High,Loam
Onions,29,61,7.6,64,9,Low,Loam
Peas,18,76,6.8,50,7,High,Loam
Cabbage,18,71,7.2,53,6,Low,Clay
Corn,22,56,7.7,66,6,High,Clay
Corn,17,52,7.4,55,9,Low,Loam
Tomatoes,17,62,6.4,53,8,High,Clay
Potatoes,16,49,7.8,69,9,Low,Sandy loam
Oats,21,40,6.7,56,9,High,Clay
Carrots,26,50,6.6,56,6,Moderate,Sandy loam
Sorghum,26,46,6.6,62,9,Moderate,Sandy loam
Tomatoes,21,54,6.1,65,6,Low,Loam
Wheat,18,78,7.6,69,8,Low,Loam
