Crop,Avg. Temp (°C),Avg. Rainfall,Avg. Soil pH,Avg. Humidity,Avg. Sunlight (hours),Wind,Soil Type
Tomatoes,27.0,80,7.6,68,6,Low,Sandy loam
Cabbage,18.0,59,7.3,55,7,Moderate,Sandy loam
Sorghum,22.0,47,7.0,65,6,Low,Loam
Beans,26.0,59,6.1,59,7,Low,Loam
Potatoes,23.0,76,7.6,69,9,Low,Loam
Sorghum,19.0,59,7.0,70,7,Low,Sandy loam
Potatoes,21.0,64,7.4,55,7,Moderate,Clay
Potatoes,21.0,80,7.2,55,8,Moderate,Clay
Cabbage,24.0,70,6.1,55,7,Low,Sandy loam
Peas,23.0,44,6.2,63,8,Moderate,Sandy loam
Cabbage,21.0,40,7.4,57,7,Moderate,Clay
Cabbage,27.0,59,7.1,70,9,High,Sandy loam
Beans,29.0,63,6.7,67,7,Moderate,Clay
Oats,20.0,51,6.4,66,7,Low,Loam
Corn,28.0,77,6.7,63,9,High,Loam
Oats,26.0,65,6.2,67,6,Low,Clay
Corn,24.0,49,6.6,63,6,High,Sandy loam
Peas,18.0,60,6.2,64,6,Low,Sandy loam
Maize,26.0,55,6.2,67,7,High,Sandy loam
Peas,22.0,54,7.8,52,7,Moderate,Sandy loam
Cabbage,23.0,51,7.9,65,7,High,Clay
Peas,20.0,71,7.4,64,7,Low,Clay
Oats,25.0,73,7.7,63,6,Low,Sandy loam
Carrots,26.0,55,6.4,63,8,Low,Sandy loam
Cabbage,17.0,70,6.7,60,8,High,Sandy loam
Peas,29.0,60,6.3,51,8,Low,Sandy loam
Onions,23.0,62,7.0,54,7,High,Clay
Onions,15.0,45,7.9,51,6,Low,Loam
Potatoes,30.0,80,7.6,64,9,Low,Loam
Beans,28.0,71,7.7,53,6,Low,Clay
Peas,26.0,45,6.2,60,6,Low,Loam
Corn,18.0,61,7.7,68,6,High,Sandy loam
Maize,28.0,63,7.8,53,8,Low,Sandy loam
Peas,15.0,75,6.1,51,7,Moderate,Sandy loam
Peas,20.0,52,6.2,55,6,High,Loam
Peas,17.0,51,7.6,62,8,High,Loam
Cabbage,26.0,50,6.4,56,7,Low,Loam
Rice,24.0,46,7.6,64,9,High,Clay
Oats,28.0,74,6.7,69,8,Moderate,Sandy loam
Onions,26.0,76,7.0,57,6,High,Clay
Beans,25.0,44,6.8,62,7,Moderate,Loam
Potatoes,24.0,47,7.2,60,6,Low,Sandy loam
Onions,24.0,41,7.0,68,9,Moderate,Sandy loam
Sorghum,25.0,40,6.5,59,6,Low,Clay
Wheat,26.0,55,6.2,69,8,High,Clay
Beans,27.0,48,7.1,57,8,High,Clay
Maize,23.0,78,6.1,50,8,Moderate,Loam
Onions,25.0,66,7.7,57,9,High,Clay
Cabbage,23.0,74,6.9,52,9,High,Loam
Cabbage,17.0,41,7.2,56,6,Low,Loam
Oats,29.0,62,7.9,58,7,Low,Sandy loam
Corn,21.0,76,6.6,52,8,Low,Loam
Maize,19.0,57,6.4,67,9,Low,Clay
Tomatoes,21.0,63,6.6,63,8,Low,Clay
Barley,19.0,52,6.6,57,9,High,Sandy loam
Beans,15.0,61,6.8,63,8,Moderate,Clay
Barley,27.0,40,6.8,59,7,Moderate,Clay
Sorghum,19.0,75,7.5,62,9,Low,Loam
Onions,18.0,69,6.9,55,8,Low,Clay
Corn,21.0,74,6.3,61,9,High,Clay
Onions,20.0,66,7.9,56,8,Low,Sandy loam
Peas,16.0,55,6.2,67,9,High,Sandy loam
Onions,29.0,61,6.2,61,6,Moderate,Sandy loam
Carrots,20.0,44,7.8,60,8,Moderate,Sandy loam
Maize,15.0,62,7.0,54,6,High,Sandy loam
Potatoes,25.0,52,6.6,69,9,High,Sandy loam
Potatoes,15.0,42,7.1,55,7,High,Loam
Carrots,21.0,52,6.9,63,9,High,Clay
Potatoes,17.0,40,7.4,61,7,Moderate,Clay
Wheat,15.0,65,6.9,57,7,Moderate,Loam
Tomatoes,21.0,41,6.6,55,7,Moderate,Loam
Peas,30.0,75,7.2,61,8,High,Loam
Maize,15.0,65,7.5,70,8,Moderate,Clay
Rice,26.0,50,7.9,64,9,High,Loam
Peas,19.0,45,7.8,60,7,Low,Loam
Cabbage,30.0,49,6.6,62,7,High,Clay
Barley,20.0,62,6.1,60,6,Low,Loam
Corn,18.0,41,6.2,57,9,Moderate,Sandy loam
Tomatoes,15.0,66,6.7,68,8,Low,Clay
Maize,24.0,75,6.0,63,7,Moderate,Clay
Tomatoes,15.0,80,7.7,68,9,Moderate,Loam
Oats,20.0,45,6.1,67,9,High,Clay
Beans,16.0,55,6.6,65,8,Moderate,Loam
Corn,24.0,75,6.3,50,8,Moderate,Loam
Cabbage,24.0,79,6.8,58,8,Moderate,Loam
Peas,16.0,76,7.5,62,9,Moderate,Loam
Oats,28.0,53,7.3,68,7,Moderate,Clay
Wheat,19.0,63,6.6,60,6,High,Clay
Peas,19.0,53,6.0,56,7,Moderate,Loam
Onions,21.0,61,6.0,61,9,Low,Clay
Barley,28.0,75,7.6,50,9,High,Clay
Oats,15.0,48,6.5,60,7,High,Sandy loam
Carrots,19.0,62,6.9,52,7,Low,Sandy loam
Beans,16.0,73,7.6,69,7,Moderate,Sandy loam
Maize,24.0,59,6.0,60,9,Moderate,Sandy loam
Carrots,22.0,71,7.1,58,9,High,Clay
Corn,28.0,62,6.2,65,8,High,Loam
Barley,23.0,67,7.7,54,8,High,Sandy loam
Beans,19.0,50,7.4,54,7,Moderate,Clay
Cabbage,27.0,80,6.5,58,6,Moderate,Clay
Corn,15.0,47,6.6,69,9,Moderate,Sandy loam
Maize,28.0,49,6.8,59,7,Moderate,Sandy loam
Oats,19.0,75,7.7,53,6,Low,Sandy loam
Tomatoes,21.0,50,6.1,58,7,Moderate,Clay
Carrots,19.0,62,7.8,64,8,High,Loam
Onions,19.0,61,6.0,58,8,Moderate,Loam
Carrots,22.0,46,6.3,50,9,High,Clay
Barley,26.0,62,6.6,55,8,High,Sandy loam
Maize,29.0,73,6.0,51,6,High,Loam
Peas,17.0,54,7.5,53,9,High,Loam
Oats,30.0,76,7.7,66,7,Low,Clay
Sorghum,30.0,58,7.3,64,7,Low,Sandy loam
Carrots,24.0,69,7.2,55,7,Moderate,Loam
Beans,30.0,72,7.0,55,7,Low,Clay
Maize,18.0,71,6.8,67,7,High,Loam
Barley,29.0,76,7.3,56,6,Low,Loam
Onions,16.0,76,6.2,56,7,Low,Clay
Peas,27.0,58,7.6,60,6,High,Sandy loam
Beans,27.0,46,6.0,56,6,Moderate,Sandy loam
Corn,30.0,73,7.5,59,9,Low,Sandy loam
Carrots,19.0,52,6.8,51,6,High,Loam
Oats,24.0,41,7.8,54,6,Moderate,Sandy loam
Rice,26.0,50,7.4,54,8,High,Sandy loam
Rice,15.0,58,6.8,70,6,High,Loam
Maize,22.5,55,6.4,55,7,Moderate,Loam
Sorghum,27.5,50,6.15,50,7,Moderate,Sandy loam
Wheat,17.5,55,6.75,55,9,Low,Loam
Beans,24.0,60,6.5,60,7,Low,Sandy loam
Peas,18.5,50,6.75,55,7,Calm,Loam
Potatoes,20.0,60,5.75,65,7,Moderate,Sandy loam
Cabbage,17.5,55,6.5,65,7,Low,Loam
Tomatoes,22.5,70,6.4,55,8,Low,Sandy loam
Onions,19.0,55,6.5,55,7,Moderate,Sandy loam
Carrots,20.0,43,6.5,55,7,Low,Sandy loam
Spinach,15.0,50,7.0,60,7,Calm,Loam
Kale,17.5,50,6.75,60,7,Low,Loam
Radishes,14.0,40,6.5,55,7,Calm,Sandy loam
Cucumber,24.0,75,7.5,65,8,Calm,Loam
Squash,22.5,65,6.65,65,7,Moderate,Sandy loam
Pumpkin,24.0,65,6.4,65,7,Moderate,Sandy loam
Garlic,18.5,53,5.75,45,7,Low,Sandy loam
Ginger,25.0,175,6.0,65,7,Calm,Loam
Pepper,24.0,75,6.9,65,7,Calm,Sandy loam
Coriander,20.0,45,6.5,60,7,Calm,Loam
Morogo,21.5,55,6.0,55,7,Moderate,Loam
Quinoa,20.0,50,6.25,50,7,Low,Sandy loam
Amaranth,25.0,50,6.25,50,7,Moderate,Sandy loam
Millet,27.5,50,6.0,50,7,Moderate,Sandy loam
Sweet potatoes,20.0,50,6.0,60,7,Moderate,Sandy loam
Cassava,27.5,70,6.0,65,7,Moderate,Sandy loam
Okra,25.0,70,6.0,65,7,Moderate,Sandy loam
Watermelon,25.0,70,6.0,55,7,Moderate,Sandy loam
