,Date,Crop,Market_Price,Production_Cost,Gross_Profit_Margin
55,2023-08-01,Spinach,21.84,5.63,74.2
56,2023-09-01,Spinach,26.99,6.83,74.7
57,2023-10-01,Spinach,14.68,3.54,75.91
58,2023-11-01,Spinach,18.63,8.59,53.88
59,2023-12-01,Spinach,11.3,6.62,41.43
60,2024-01-01,Spinach,17.87,6.08,65.97
61,2024-02-01,Spinach,19.61,8.68,55.72
62,2024-03-01,Spinach,12.38,3.72,69.94
63,2024-04-01,Spinach,22.76,7.25,68.16
64,2024-05-01,Spinach,21.81,9.92,54.5
65,2024-06-01,Spinach,29.61,4.69,84.17
66,2024-07-01,Spinach,23.06,4.37,81.04
67,2024-08-01,Spinach,25.94,3.94,84.8
68,2024-09-01,Spinach,22.92,7.91,65.49
69,2024-10-01,Spinach,22.39,5.02,77.59
70,2024-11-01,Spinach,12.72,4.76,62.54
71,2024-12-01,Spinach,27.25,9.47,65.27
72,2022-01-01,Carrots,11.66,6.99,40.03
73,2022-02-01,Carrots,20.93,8.47,59.53
74,2022-03-01,Carrots,27.91,7.4,73.5
75,2022-04-01,Carrots,20.82,4.43,78.73
76,2022-05-01,Carrots,19.61,6.33,67.72
77,2022-06-01,Carrots,25.78,7.52,70.84
78,2022-07-01,Carrots,13.16,6.17,53.13
79,2022-08-01,Carrots,12.34,9.6,22.16
80,2022-09-01,Carrots,22.41,8.78,60.83
81,2022-10-01,Carrots,18.21,9.24,49.28
82,2022-11-01,Carrots,19.66,3.51,82.14
83,2022-12-01,Carrots,27.55,4.37,84.12
84,2023-01-01,Carrots,18.33,6.08,66.84
85,2023-02-01,Carrots,17.26,9.95,42.35
86,2023-03-01,Carrots,20.25,8.85,56.28
87,2023-04-01,Carrots,11.89,3.18,73.24
88,2023-05-01,Carrots,27.69,8.84,68.09
89,2023-06-01,Carrots,29.1,4.09,85.96
90,2023-07-01,Carrots,11.92,3.23,72.89
91,2023-08-01,Carrots,25.11,3.21,87.21
92,2023-09-01,Carrots,17.81,4.63,74.03
93,2023-10-01,Carrots,14.54,8.41,42.19
94,2023-11-01,Carrots,22.21,5.53,75.08
95,2023-12-01,Carrots,21.04,3.14,85.08
96,2024-01-01,Carrots,29.92,4.15,86.13
97,2024-02-01,Carrots,22.94,9.13,60.2
98,2024-03-01,Carrots,15.84,5.97,62.32
99,2024-04-01,Carrots,28.08,7.39,73.7
100,2024-05-01,Carrots,28.02,3.16,88.72
101,2024-06-01,Carrots,28.82,4.79,83.4
102,2024-07-01,Carrots,14.28,9.95,30.28
103,2024-08-01,Carrots,22.83,5.43,76.21
104,2024-09-01,Carrots,19.35,6.7,65.38
105,2024-10-01,Carrots,29.99,4.14,86.19
106,2024-11-01,Carrots,13.76,4.2,69.47
107,2024-12-01,Carrots,28.77,7.01,75.63
108,2022-01-01,Onions,26.37,7.29,72.35
109,2022-02-01,Onions,15.46,8.06,47.87
110,2022-03-01,Onions,25.79,3.89,84.93
111,2022-04-01,Onions,21.25,5.53,73.97
112,2022-05-01,Onions,29.28,5.56,81.01
113,2022-06-01,Onions,12.38,8.47,31.56
114,2022-07-01,Onions,28.13,8.32,70.42
115,2022-08-01,Onions,25.3,9.8,61.25
116,2022-09-01,Onions,26.05,4.05,84.47
117,2022-10-01,Onions,13.61,9.81,27.95
118,2022-11-01,Onions,23.22,7.2,69
119,2022-12-01,Onions,22.37,9.39,58.05
120,2023-01-01,Onions,20.04,3.78,81.13
121,2023-02-01,Onions,10.23,8.2,19.86
122,2023-03-01,Onions,12.54,8.24,34.3
123,2023-04-01,Onions,17.08,4.47,73.83
124,2023-05-01,Onions,25.66,6.86,73.28
125,2023-06-01,Onions,24.97,3.87,84.49
126,2023-07-01,Onions,13.58,7.62,43.88
127,2023-08-01,Onions,12.34,6.26,49.27
128,2023-09-01,Onions,29.94,9.62,67.88
129,2023-10-01,Onions,19.88,4.64,76.65
130,2023-11-01,Onions,19.62,7.14,63.63
131,2023-12-01,Onions,22.55,8.37,62.9
132,2024-01-01,Onions,13.5,4.18,69.07
133,2024-02-01,Onions,17.3,9.35,45.97
134,2024-03-01,Onions,15.56,6.4,58.87
135,2024-04-01,Onions,12.7,7.64,39.86
136,2024-05-01,Onions,23.28,7.05,69.74
137,2024-06-01,Onions,19.51,9.62,50.71
138,2024-07-01,Onions,15.93,6.27,60.65
139,2024-08-01,Onions,28.7,9.12,68.21
140,2024-09-01,Onions,29.48,6.86,76.74
141,2024-10-01,Onions,25.33,4.27,83.14
142,2024-11-01,Onions,10.34,3.85,62.75
143,2024-12-01,Onions,25.6,4.26,83.35
144,2022-01-01,Tomatoes,10.28,3.67,64.31
145,2022-02-01,Tomatoes,17.99,4.49,75.03
146,2022-03-01,Tomatoes,17.16,5.54,67.73
147,2022-04-01,Tomatoes,14.44,7.37,48.96
148,2022-05-01,Tomatoes,25.55,4.12,83.89
149,2022-06-01,Tomatoes,24.5,9,63.26
150,2022-07-01,Tomatoes,17.14,9.87,42.41
151,2022-08-01,Tomatoes,27.48,4.16,84.88
152,2022-09-01,Tomatoes,28.86,8.56,70.33
153,2022-10-01,Tomatoes,12.51,3.37,73.07
154,2022-11-01,Tomatoes,27.1,6.96,74.32
155,2022-12-01,Tomatoes,19.4,3.04,84.35
156,2023-01-01,Tomatoes,25.63,6.87,73.18
157,2023-02-01,Tomatoes,29.72,9.27,68.82
158,2023-03-01,Tomatoes,18.02,5,72.23
159,2023-04-01,Tomatoes,25.03,8.13,67.53
160,2023-05-01,Tomatoes,25.6,9.36,63.42
161,2023-06-01,Tomatoes,10.19,6.13,39.8
162,2023-07-01,Tomatoes,21.89,8.23,62.41
163,2023-08-01,Tomatoes,10.84,6.23,42.56
164,2023-09-01,Tomatoes,11.85,7.79,34.28
165,2023-10-01,Tomatoes,28.72,4.8,83.27
166,2023-11-01,Tomatoes,20.59,9.7,52.89
167,2023-12-01,Tomatoes,11.49,8.05,29.93
168,2024-01-01,Tomatoes,10.26,3.29,67.92
169,2024-02-01,Tomatoes,27.17,3.9,85.63
170,2024-03-01,Tomatoes,23.56,3.69,84.34
171,2024-04-01,Tomatoes,23.1,7.25,68.62
172,2024-05-01,Tomatoes,25.14,3.06,87.83
173,2024-06-01,Tomatoes,25.78,7.01,72.8
174,2024-07-01,Tomatoes,29.38,8.28,71.81
175,2024-08-01,Tomatoes,19.85,8.93,55.01
176,2024-09-01,Tomatoes,20.93,8.67,58.55
177,2024-10-01,Tomatoes,21.31,9.04,57.58
178,2024-11-01,Tomatoes,24.57,8.8,64.19
179,2024-12-01,Tomatoes,27.08,3.87,85.71
180,2022-01-01,Lettuce,27.76,4.66,83.22
181,2022-02-01,Lettuce,15.53,3.76,75.79
182,2022-03-01,Lettuce,18.04,3.81,78.91
183,2022-04-01,Lettuce,28.06,6,78.6
184,2022-05-01,Lettuce,21.06,8.25,60.84
185,2022-06-01,Lettuce,17.74,8.96,49.51
186,2022-07-01,Lettuce,12.18,4.4,63.85
187,2022-08-01,Lettuce,10.38,9.37,9.79
188,2022-09-01,Lettuce,16.31,9.79,39.99
189,2022-10-01,Lettuce,24.34,3.64,85.05
190,2022-11-01,Lettuce,25.15,9.24,63.28
191,2022-12-01,Lettuce,28.05,5.12,81.74
192,2023-01-01,Lettuce,19.43,7.3,62.46
193,2023-02-01,Lettuce,29.55,6.78,77.07
194,2023-03-01,Lettuce,14.75,7.38,49.94
195,2023-04-01,Lettuce,27.47,5.83,78.79
196,2023-05-01,Lettuce,13.3,7.53,43.36
197,2023-06-01,Lettuce,29.17,5.25,82
198,2023-07-01,Lettuce,27.08,5.87,78.33
199,2023-08-01,Lettuce,26.18,6.85,73.84
200,2023-09-01,Lettuce,16.54,8.36,49.46
201,2023-10-01,Lettuce,14.77,8.23,44.29
202,2023-11-01,Lettuce,15.15,7.65,49.51
203,2023-12-01,Lettuce,23.97,8.4,64.95
204,2024-01-01,Lettuce,17.6,3.27,81.44
205,2024-02-01,Lettuce,22.4,3.56,84.12
206,2024-03-01,Lettuce,11.08,9.15,17.41
207,2024-04-01,Lettuce,28.84,9.88,65.74
208,2024-05-01,Lettuce,20.56,6.39,68.93
209,2024-06-01,Lettuce,26.58,6.88,74.13
210,2024-07-01,Lettuce,27.18,3.16,88.38
211,2024-08-01,Lettuce,14.97,3.86,74.2
212,2024-09-01,Lettuce,24.31,4.95,79.65
213,2024-10-01,Lettuce,23.9,9.16,61.69
214,2024-11-01,Lettuce,12.98,6.41,50.6
215,2024-12-01,Lettuce,17.03,9.37,44.95
216,2022-01-01,Broccoli,11.9,6.24,47.59
217,2022-02-01,Broccoli,17.28,6.85,60.33
218,2022-03-01,Broccoli,29.94,7.58,74.67
219,2022-04-01,Broccoli,28.63,4.9,82.9
220,2022-05-01,Broccoli,22.82,7.53,67
221,2022-06-01,Broccoli,13.87,6.4,53.83
222,2022-07-01,Broccoli,24.56,7.8,68.25
223,2022-08-01,Broccoli,10.77,4.69,56.46
224,2022-09-01,Broccoli,15.3,4.64,69.68
225,2022-10-01,Broccoli,26.97,7.61,71.78
226,2022-11-01,Broccoli,21.54,8.27,61.62
227,2022-12-01,Broccoli,11.28,7.09,37.14
228,2023-01-01,Broccoli,26.96,7.36,72.71
229,2023-02-01,Broccoli,24.9,5.46,78.06
230,2023-03-01,Broccoli,27.18,4.71,82.68
231,2023-04-01,Broccoli,18.05,7.29,59.58
232,2023-05-01,Broccoli,11.95,3.61,69.8
233,2023-06-01,Broccoli,20.97,7.48,64.33
234,2023-07-01,Broccoli,13.02,9.09,30.22
235,2023-08-01,Broccoli,27.74,6.68,75.91
236,2023-09-01,Broccoli,14.17,4.13,70.89
237,2023-10-01,Broccoli,12.04,6.86,43.05
238,2023-11-01,Broccoli,20.62,9.24,55.2
239,2023-12-01,Broccoli,12.61,4.77,62.17
240,2024-01-01,Broccoli,18.55,4.26,77.07
241,2024-02-01,Broccoli,23.32,3.15,86.5
242,2024-03-01,Broccoli,22.31,7.19,67.78
243,2024-04-01,Broccoli,16.98,8.28,51.23
244,2024-05-01,Broccoli,28.89,6.12,78.8
245,2024-06-01,Broccoli,27.06,8.75,67.65
246,2024-07-01,Broccoli,23.72,3.58,84.92
247,2024-08-01,Broccoli,25.27,9.86,60.98
248,2024-09-01,Broccoli,17.96,9.17,48.92
249,2024-10-01,Broccoli,26.97,9.56,64.56
250,2024-11-01,Broccoli,13.52,5.13,62.08
251,2024-12-01,Broccoli,25.58,6.1,76.17
252,2022-01-01,Cauliflower,17.86,3.14,82.4
253,2022-02-01,Cauliflower,20.72,4.46,78.49
254,2022-03-01,Cauliflower,13.95,5.45,60.92
255,2022-04-01,Cauliflower,23.81,3.69,84.5
256,2022-05-01,Cauliflower,13.99,9.6,31.38
257,2022-06-01,Cauliflower,11.13,9.89,11.13
258,2022-07-01,Cauliflower,15.44,5.65,63.44
259,2022-08-01,Cauliflower,20.48,7.89,61.45
260,2022-09-01,Cauliflower,10.79,4.4,59.26
261,2022-10-01,Cauliflower,25.24,7.02,72.19
262,2022-11-01,Cauliflower,22.61,6.12,72.96
263,2022-12-01,Cauliflower,19.54,7.79,60.12
264,2023-01-01,Cauliflower,15.1,7.66,49.26
265,2023-02-01,Cauliflower,22.79,4.02,82.35
266,2023-03-01,Cauliflower,27.11,9.25,65.88
267,2023-04-01,Cauliflower,19.35,3.82,80.29
268,2023-05-01,Cauliflower,20.85,7.85,62.36
269,2023-06-01,Cauliflower,23.13,6.73,70.89
270,2023-07-01,Cauliflower,15.98,5.12,67.97
271,2023-08-01,Cauliflower,24.57,7.38,69.97
272,2023-09-01,Cauliflower,22.87,5.02,78.03
273,2023-10-01,Cauliflower,20.79,5.78,72.23
274,2023-11-01,Cauliflower,16.54,4.22,74.51
275,2023-12-01,Cauliflower,12.54,8.2,34.66
276,2024-01-01,Cauliflower,28.42,8.85,68.87
277,2024-02-01,Cauliflower,11.86,6.33,46.65
278,2024-03-01,Cauliflower,12.78,6.26,51.01
279,2024-04-01,Cauliflower,27.72,7.62,72.51
280,2024-05-01,Cauliflower,22.58,7.66,66.05
281,2024-06-01,Cauliflower,24.99,5.86,76.57
282,2024-07-01,Cauliflower,20,6.36,68.22
283,2024-08-01,Cauliflower,13.53,7.88,41.75
284,2024-09-01,Cauliflower,13.35,9.72,27.18
285,2024-10-01,Cauliflower,22.07,8.1,63.31
286,2024-11-01,Cauliflower,13.34,9.29,30.31
287,2024-12-01,Cauliflower,25.96,8.87,65.84
288,2022-01-01,Peppers,11.02,9.5,13.81
289,2022-02-01,Peppers,10.98,9.97,9.2
290,2022-03-01,Peppers,14.99,6.62,55.8
291,2022-04-01,Peppers,25.89,4.75,81.66
292,2022-05-01,Peppers,22.8,3.27,85.68
293,2022-06-01,Peppers,18.03,4.03,77.66
294,2022-07-01,Peppers,19.71,3.8,80.74
295,2022-08-01,Peppers,18.69,8.04,56.99
296,2022-09-01,Peppers,15.73,7.1,54.82
297,2022-10-01,Peppers,21.46,4.04,81.16
298,2022-11-01,Peppers,29.53,8.39,71.58
299,2022-12-01,Peppers,17.29,6.93,59.92
300,2023-01-01,Peppers,15.19,3.06,79.83
301,2023-02-01,Peppers,17.19,7.96,53.72
302,2023-03-01,Peppers,22.46,8.45,62.37
303,2023-04-01,Peppers,26.51,8.13,69.33
304,2023-05-01,Peppers,22.15,9.71,56.17
305,2023-06-01,Peppers,24.87,5.86,76.43
306,2023-07-01,Peppers,26.77,9.25,65.44
307,2023-08-01,Peppers,16.69,5.91,64.57
308,2023-09-01,Peppers,14.56,3.03,79.18
309,2023-10-01,Peppers,28.35,8.43,70.28
310,2023-11-01,Peppers,20.55,3.55,82.75
311,2023-12-01,Peppers,21.96,5.05,77.02
312,2024-01-01,Peppers,20.67,5.1,75.35
313,2024-02-01,Peppers,16.74,4.92,70.64
314,2024-03-01,Peppers,11.54,4.46,61.29
315,2024-04-01,Peppers,21.52,8.15,62.13
316,2024-05-01,Peppers,29.32,3.83,86.95
317,2024-06-01,Peppers,22.54,6.23,72.34
318,2024-07-01,Peppers,21.48,5.36,75.06
319,2024-08-01,Peppers,24.55,4.76,80.6
320,2024-09-01,Peppers,27.93,7.96,71.49
321,2024-10-01,Peppers,29.35,3.02,89.73
322,2024-11-01,Peppers,26.33,8.24,68.69
323,2024-12-01,Peppers,18,9.94,44.8
324,2022-01-01,Eggplant,14.94,6.63,55.64
325,2022-02-01,Eggplant,28.1,9.86,64.92
326,2022-03-01,Eggplant,19.93,9.85,50.59
327,2022-04-01,Eggplant,28.3,6.88,75.7
328,2022-05-01,Eggplant,26.21,9.24,64.75
329,2022-06-01,Eggplant,28.82,8.87,69.22
330,2022-07-01,Eggplant,22.91,4.35,81.03
331,2022-08-01,Eggplant,22.7,3.11,86.3
332,2022-09-01,Eggplant,11.33,6.57,42.05
333,2022-10-01,Eggplant,24.94,3.22,87.08
334,2022-11-01,Eggplant,27.53,5.54,79.86
335,2022-12-01,Eggplant,18.85,4.21,77.66
336,2023-01-01,Eggplant,18.1,5.53,69.42
337,2023-02-01,Eggplant,22.64,3.35,85.21
338,2023-03-01,Eggplant,26.17,3.57,86.35
339,2023-04-01,Eggplant,18.7,5.73,69.34
340,2023-05-01,Eggplant,22.33,6.32,71.69
341,2023-06-01,Eggplant,24.61,8.2,66.69
342,2023-07-01,Eggplant,18.39,9.01,51.01
343,2023-08-01,Eggplant,14.22,3.27,77.02
344,2023-09-01,Eggplant,28.94,6.58,77.25
345,2023-10-01,Eggplant,17.16,8.41,50.98
346,2023-11-01,Eggplant,18.31,4.89,73.29
347,2023-12-01,Eggplant,17.41,7.13,59.04
348,2024-01-01,Eggplant,13.51,9.33,30.94
349,2024-02-01,Eggplant,20.15,7.3,63.79
350,2024-03-01,Eggplant,18.07,4.19,76.84
351,2024-04-01,Eggplant,12.4,7.21,41.83
352,2024-05-01,Eggplant,15,9.78,34.79
353,2024-06-01,Eggplant,18.76,8.53,54.54
354,2024-07-01,Eggplant,13.34,3.85,71.14
355,2024-08-01,Eggplant,28.89,9.72,66.35
356,2024-09-01,Eggplant,11.51,3.85,66.51
357,2024-10-01,Eggplant,22.54,3.46,84.66
358,2024-11-01,Eggplant,14.79,5.99,59.49
359,2024-12-01,Eggplant,19.21,7.78,59.5
360,2022-01-01,Zucchini,24.45,6.71,72.56
361,2022-02-01,Zucchini,14.4,4.79,66.73
362,2022-03-01,Zucchini,14.65,8.61,41.24
363,2022-04-01,Zucchini,29.09,4.67,83.95
364,2022-05-01,Zucchini,29.99,9.84,67.19
365,2022-06-01,Zucchini,14.22,5.53,61.12
366,2022-07-01,Zucchini,17.71,6.18,65.12
367,2022-08-01,Zucchini,12.14,5.11,57.94
368,2022-09-01,Zucchini,10.21,6.91,32.39
369,2022-10-01,Zucchini,24.13,7.64,68.33
370,2022-11-01,Zucchini,14.38,7.5,47.83
371,2022-12-01,Zucchini,27.1,3.66,86.48
372,2023-01-01,Zucchini,10.48,5.21,50.3
373,2023-02-01,Zucchini,26.19,7.36,71.9
374,2023-03-01,Zucchini,18.31,3.88,78.83
375,2023-04-01,Zucchini,11.14,4.42,60.33
376,2023-05-01,Zucchini,28.52,3.71,87
377,2023-06-01,Zucchini,10.52,3.12,70.31
378,2023-07-01,Zucchini,29.31,3.28,88.8
379,2023-08-01,Zucchini,15.73,7.17,54.42
380,2023-09-01,Zucchini,11.07,3.07,72.23
381,2023-10-01,Zucchini,11.53,7.74,32.89
382,2023-11-01,Zucchini,15.68,4.97,68.33
383,2023-12-01,Zucchini,18.52,3.57,80.74
384,2024-01-01,Zucchini,25.09,6.24,75.13
385,2024-02-01,Zucchini,22.9,3.29,85.64
386,2024-03-01,Zucchini,28.82,6.59,77.13
387,2024-04-01,Zucchini,29.82,3.75,87.44
388,2024-05-01,Zucchini,11.76,5.78,50.87
389,2024-06-01,Zucchini,11.37,7.58,33.36
390,2024-07-01,Zucchini,10.66,7.55,29.24
391,2024-08-01,Zucchini,16.06,3.81,76.3
392,2024-09-01,Zucchini,18.62,5.55,70.22
393,2024-10-01,Zucchini,22.41,8.87,60.43
394,2024-11-01,Zucchini,14.44,7.75,46.32
395,2024-12-01,Zucchini,27.39,5.68,79.27
396,2022-01-01,Pumpkin,20.14,8.01,60.22
397,2022-02-01,Pumpkin,19.19,5.71,70.25
398,2022-03-01,Pumpkin,16.38,3.88,76.31
399,2022-04-01,Pumpkin,18.49,6.27,66.11
400,2022-05-01,Pumpkin,11.14,3.98,64.31
401,2022-06-01,Pumpkin,18.32,7.43,59.43
402,2022-07-01,Pumpkin,19.48,6.25,67.91
403,2022-08-01,Pumpkin,22.33,9.39,57.93
404,2022-09-01,Pumpkin,28.97,7.37,74.54
405,2022-10-01,Pumpkin,16.35,9.77,40.21
406,2022-11-01,Pumpkin,16.75,3.15,81.18
407,2022-12-01,Pumpkin,25.72,4.08,84.16
408,2023-01-01,Pumpkin,22.6,6.95,69.25
409,2023-02-01,Pumpkin,22.03,7.85,64.39
410,2023-03-01,Pumpkin,19.63,5.51,71.93
411,2023-04-01,Pumpkin,20.14,5.23,74.02
412,2023-05-01,Pumpkin,22.03,6.01,72.73
413,2023-06-01,Pumpkin,12.38,5.24,57.7
414,2023-07-01,Pumpkin,14.6,9.11,37.64
415,2023-08-01,Pumpkin,11.57,9.28,19.78
416,2023-09-01,Pumpkin,22.48,6.93,69.18
417,2023-10-01,Pumpkin,10.05,4.45,55.69
418,2023-11-01,Pumpkin,18.47,3.34,81.91
419,2023-12-01,Pumpkin,22.97,9.29,59.57
420,2024-01-01,Pumpkin,18.06,8.79,51.34
421,2024-02-01,Pumpkin,20.82,7.76,62.74
422,2024-03-01,Pumpkin,13.07,7.36,43.65
423,2024-04-01,Pumpkin,28.31,7.59,73.18
424,2024-05-01,Pumpkin,22.94,9.08,60.43
425,2024-06-01,Pumpkin,12.58,5.08,59.58
426,2024-07-01,Pumpkin,29.03,6.28,78.37
427,2024-08-01,Pumpkin,19.27,6.15,68.12
428,2024-09-01,Pumpkin,28.49,8.61,69.78
429,2024-10-01,Pumpkin,19.37,6.45,66.68
430,2024-11-01,Pumpkin,19.86,9.53,52
431,2024-12-01,Pumpkin,25.17,5.23,79.21
432,2022-01-01,Squash,15.44,3.75,75.7
433,2022-02-01,Squash,23.43,8.24,64.84
434,2022-03-01,Squash,26.2,8.17,68.81
435,2022-04-01,Squash,20.1,6.93,65.51
436,2022-05-01,Squash,24.92,9.48,61.95
437,2022-06-01,Squash,13.81,7.68,44.42
438,2022-07-01,Squash,16.61,9.66,41.84
439,2022-08-01,Squash,25.69,7.44,71.04
440,2022-09-01,Squash,12.53,7.6,39.31
441,2022-10-01,Squash,16.22,3.78,76.67
442,2022-11-01,Squash,10.14,5.43,46.38
443,2022-12-01,Squash,10.98,4.96,54.85
444,2023-01-01,Squash,18.77,4.54,75.83
445,2023-02-01,Squash,19.35,4.56,76.46
446,2023-03-01,Squash,27.35,9.7,64.53
447,2023-04-01,Squash,22.28,3.74,83.23
448,2023-05-01,Squash,28.3,5.31,81.24
449,2023-06-01,Squash,13.57,8.15,39.94
450,2023-07-01,Squash,25.6,4.53,82.29
451,2023-08-01,Squash,28.04,6.54,76.66
452,2023-09-01,Squash,13.32,7.29,45.24
453,2023-10-01,Squash,22.78,3.89,82.91
454,2023-11-01,Squash,15.54,5.03,67.66
455,2023-12-01,Squash,23.55,8.17,65.33
456,2024-01-01,Squash,22.85,7.7,66.3
457,2024-02-01,Squash,15.32,9.77,36.21
458,2024-03-01,Squash,24.84,8.82,64.5
459,2024-04-01,Squash,18.62,7.73,58.49
460,2024-05-01,Squash,26.47,9.56,63.9
461,2024-06-01,Squash,25.44,4.6,81.9
462,2024-07-01,Squash,21.34,6.93,67.52
463,2024-08-01,Squash,10.13,7.97,21.37
464,2024-09-01,Squash,15.71,6.98,55.55
465,2024-10-01,Squash,10.42,8.91,14.51
466,2024-11-01,Squash,17.35,6.17,64.46
467,2024-12-01,Squash,25.28,3.67,85.5
468,2022-01-01,Radishes,18.57,6.02,67.59
469,2022-02-01,Radishes,12.47,4.02,67.76
470,2022-03-01,Radishes,20.9,6.88,67.09
471,2022-04-01,Radishes,28.62,9.68,66.18
472,2022-05-01,Radishes,21.27,8.3,61
473,2022-06-01,Radishes,15.94,5.95,62.66
474,2022-07-01,Radishes,18.44,3.77,79.56
475,2022-08-01,Radishes,15.72,8.93,43.21
476,2022-09-01,Radishes,19.99,9.4,52.99
477,2022-10-01,Radishes,14.65,5.43,62.92
478,2022-11-01,Radishes,11.58,8.03,30.66
479,2022-12-01,Radishes,18.43,9.94,46.09
480,2023-01-01,Radishes,19.37,8.35,56.9
481,2023-02-01,Radishes,10.35,6.55,36.71
482,2023-03-01,Radishes,10.96,5.82,46.92
483,2023-04-01,Radishes,17.01,9.12,46.39
484,2023-05-01,Radishes,16.76,4.99,70.21
485,2023-06-01,Radishes,14.83,4.41,70.25
486,2023-07-01,Radishes,15.54,4.33,72.15
487,2023-08-01,Radishes,23.41,5.33,77.25
488,2023-09-01,Radishes,14.23,9.24,35.08
489,2023-10-01,Radishes,27.11,9.36,65.47
490,2023-11-01,Radishes,27.75,5.58,79.89
491,2023-12-01,Radishes,16.44,9.38,42.95
492,2024-01-01,Radishes,22.61,7.25,67.92
493,2024-02-01,Radishes,14.2,5.34,62.4
494,2024-03-01,Radishes,13.17,4.49,65.88
495,2024-04-01,Radishes,26.83,4.37,83.7
496,2024-05-01,Radishes,10.98,5.87,46.53
497,2024-06-01,Radishes,23.76,3.83,83.88
498,2024-07-01,Radishes,20.68,4.75,77.03
499,2024-08-01,Radishes,15.27,8.97,41.24
500,2024-09-01,Radishes,17.85,4.89,72.59
501,2024-10-01,Radishes,29.88,3.7,87.63
502,2024-11-01,Radishes,15.84,3.52,77.79
503,2024-12-01,Radishes,11.05,7.83,29.07
504,2022-01-01,Daikon Radish,20.66,8.91,56.89
505,2022-02-01,Daikon Radish,17.78,7.27,59.11
506,2022-03-01,Daikon Radish,20.66,4.99,75.85
507,2022-04-01,Daikon Radish,20.73,7.43,64.15
508,2022-05-01,Daikon Radish,13.18,8.92,32.37
509,2022-06-01,Daikon Radish,15.21,3.33,78.08
510,2022-07-01,Daikon Radish,24.58,6.47,73.69
511,2022-08-01,Daikon Radish,27.53,9.87,64.15
512,2022-09-01,Daikon Radish,11.43,5.52,51.72
513,2022-10-01,Daikon Radish,25.49,5,80.37
514,2022-11-01,Daikon Radish,20.93,5.36,74.36
515,2022-12-01,Daikon Radish,22.28,8.26,62.93
516,2023-01-01,Daikon Radish,29.17,9.78,66.46
517,2023-02-01,Daikon Radish,17.62,3.24,81.61
518,2023-03-01,Daikon Radish,27.41,3.9,85.76
519,2023-04-01,Daikon Radish,28.04,6.5,76.82
520,2023-05-01,Daikon Radish,21.04,6.12,70.91
521,2023-06-01,Daikon Radish,15.62,8.86,43.28
